Best Hand,Age,House_Gryffindor,House_Hufflepuff,House_Ravenclaw,House_Slytherin,Herbology,Defense Against the Dark Arts,Potions,Charms,Flying
0.0,-0.6308341340361002,0.0,0.0,1.0,0.0,0.8666278129868772,1.0214988017793332,-0.7028286982431461,1.1979131321054897,-0.5060960596965038
1.0,-0.3077995484262986,0.0,0.0,0.0,1.0,-1.3760175363637266,1.1444927538186687,0.41221315485860743,-1.0103705802429128,-1.3935865015332292
0.0,-0.3462560467131799,0.0,0.0,1.0,0.0,1.2490931409100647,0.7880430234660823,0.8893238222852163,1.818754476160533,0.08149725386244623
0.0,-0.9038752718729562,1.0,0.0,0.0,0.0,-1.4736075334427696,-1.2508268423380076,-1.6599133234011294,-1.5413667952806338,1.8267447470399802
1.0,0.06330566004210422,0.0,0.0,0.0,1.0,-1.0509051242866894,1.262603761975593,1.8638907758157284,-0.527632667866873,-0.5860686272372438
0.0,0.29019899993470294,1.0,0.0,0.0,0.0,-1.2283112928601145,-0.8649321357903225,-1.574599146780558,-1.0207752588929613,2.2724380176804893
1.0,-1.71146173589746,0.0,1.0,0.0,0.0,1.2868429370663466,-0.9239594925010413,-1.2578858456372524,-0.14380981235063936,-0.2313185199411407
1.0,0.6747639828035144,0.0,1.0,0.0,0.0,0.8201095275350188,-1.072953374683525,1.0713613679014564,0.07070582532933942,0.4320436749160233
0.0,-1.2519065813692305,0.0,1.0,0.0,0.0,0.788776543627863,-0.7540823068722765,0.13113670691184404,-0.1823228397049164,-0.018570984496223342
1.0,-0.5981461104922513,0.0,1.0,0.0,0.0,0.09669698934806085,-1.272583226405127,0.689986790652856,-0.07870768337173013,-0.15288388639156877
0.0,1.5361895444296516,0.0,0.0,0.0,1.0,-1.628988006031251,1.1294124026698864,1.6051757086286247,-0.889754434101508,-1.0549334366780185
1.0,0.8016704271502221,0.0,0.0,1.0,0.0,0.29523065862210435,0.4650096018217103,1.1082306009870857,1.2132206283549742,-0.43483845143904964
0.0,-1.6922334867540196,0.0,0.0,1.0,0.0,0.5449222422925861,0.9443836800168046,1.177684385396475,1.5864668364737664,-0.05609657388072443
0.0,1.1362419622460882,1.0,0.0,0.0,0.0,-1.2861974230581368,-0.8155976748354192,-0.30398283639668566,-1.0205281249977043,1.5563759513926325
0.0,-1.4518803724610125,1.0,0.0,0.0,0.0,-1.1526695539323224,-1.161622486547924,-0.9372789955253997,-1.3223070827523977,1.9470111851493241
1.0,-0.590454810834875,0.0,0.0,1.0,0.0,1.085764524779384,0.37600639125602386,1.850209080294903,1.884090072644177,-0.11535829700706766
1.0,0.03638611124128745,0.0,1.0,0.0,0.0,1.1067714416178231,-0.7915894788223874,-0.810467989376907,0.035701643741349466,-0.1913322361707707
